document_type,title,authors,keywords,abstract,journal,year,doi,source,url,publisherLocations
Conference,GenAI as a Tool for Scientists and Researchers,"Hadzhikoleva, Stanka; Hadzhikolev, Emil; Yotov, Kostadin","Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Circuits; Feedback; Protocols; HTTP; Communication systems; Internet; Visual communication; Computer networks; Artificial intelligence; Chatbots; science; scientific research; generative artificial intelligence; large language models; GenAI; LLMs","Generative Artificial Intelligence (GenAI) offers numerous opportunities for innovating scientific work - from literature review and idea generation to data analysis, scientific writing, and results visualization. This article systematizes the main ways in which GenAI can be used by researchers across different stages of the research process, while emphasizing the key challenges associated with the technology. The study highlights that critical thinking, methodological rigor, and human expertise remain at the core of scientific activity, and that GenAI is only a tool that can support, but not replace, the work of the researcher.","2026 25th International Symposium INFOTEH-JAHORINA (INFOTEH), INFOTEH-JAHORINA (INFOTEH), 2026 25th International Symposium",2026,10.1109/INFOTEH68759.2026.11477705,EBSCO,https://research.ebsco.com/plink/6b1cff31-ce1c-39c1-957a-7f5fa30817c7,
Conference,"The GenAI Generation: Student Views of Awareness, Preparedness, and Concern","Siraj, Micaela; Duke, Jon; Plotz, Thomas","Aerospace; Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Geoscience; Nuclear Engineering; Photonics and Electrooptics; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation; Aerospace engineering; Feedback; Circuits; Internet; Protocols; Communication systems; HTTP; Electronic mail; Amplitude shift keying; Computer networks; Generative Artificial Intelligence; Gen AI Generation; Student Perceptions; Higher Education; Digital Dementia; Cognitive Development; Adaptability; Problem-Solving; Critical Thinking; Ethics in AI; GenAI; Gen AI","Generative Artificial Intelligence (Gen AI) is revolutionizing education and workforce development, profoundly shaping how students learn, engage, and prepare for their future. Outpacing the development of uniform policies and structures, Gen AI has heralded a unique era and given rise to the Gen AI Generation, a cohort of individuals whose development has been increasingly shaped by the opportunities and challenges Gen AI presents during its widespread adoption within society. This study examines higher education students' perceptions of Gen AI through a concise survey with optional open-ended questions, focusing on their awareness, preparedness, and concerns. “Readiness” appears increasingly tied to exposure to Gen AI through one's coursework. Students with greater curricular exposure to Gen AI tend to feel more prepared, while those without more often express vulnerability and uncertainty, highlighting a new and growing divide that goes beyond traditional disciplinary boundaries. Evaluation of more than 250 responses, with over 40 percent providing detailed qualitative feedback, reveals a core dual sentiment: while most students express enthusiasm for Gen AI, an even greater proportion voice a spectrum of concerns about ethics, job displacement, and the adequacy of educational structures given the highly transformative technology. These findings offer critical insights into how students view the potential and pitfalls of Gen AI for future career impacts.","SoutheastCon 2026, SoutheastCon, 2026",2026,10.1109/SoutheastCon63549.2026.11476077,EBSCO,https://research.ebsco.com/plink/a09b12db-c964-36df-b5e3-27f16679b325,
Conference,A GenAI-Powered Cybersecurity Mesh for Real-Time Risk Detection in Digital Payments,"Anugula, Utham Kumar; Ananthanarayanan, Vijayanand","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineering Profession; General Topics for Engineers; Adaptation models; Accuracy; Explainable AI; Biological system modeling; Fintech; Ecosystems; Transformers; Real-time systems; Fraud; Computer security; GenAI; Cybersecurity Mesh; Digital Payments; Transformer Models; Real-Time Risk Detection; Zero-Trust Architecture; Financial Security","The surge in digital payment systems has introduced significant challenges in securing real-time financial transactions against sophisticated cyber threats. This paper presents a GenAI-powered cybersecurity mesh architecture designed to detect and mitigate risks dynamically within decentralized digital payment ecosystems. Our approach integrates transformer-based deep learning models, explainable AI (XAI) mechanisms, and decentralized threat telemetry across a microservices-driven architecture. The system supports autonomous policy enforcement and real-time fraud detection using SHAP-explainable risk scores aggregated from user behavior, device fingerprinting, and transaction metadata. Deployed within a zero-trust security model, the mesh adapts to adversarial patterns through self-improving AI agents. Experimental results on simulated fintech datasets show over 96% detection accuracy with sub-200ms latency, demonstrating viability for high-throughput environments. The proposed architecture advances the state-of-the-art in real-time payment security and paves the way for scalable GenAI-driven threat response infrastructures in financial services.","2026 IEEE 5th International Conference on AI in Cybersecurity (ICAIC), AI in Cybersecurity (ICAIC), 2026 IEEE 5th International Conference on",2026,10.1109/ICAIC67076.2026.11395813,EBSCO,https://research.ebsco.com/plink/9c4a6a4b-5f84-3cf6-8216-b3b770dd1dd2,
Conference,An Examination of Generative Artificial Intelligence Usage Among Students with Disabilities,"Aidarus, Fathi; Lamers, Trisha; Khribi, Mohamed Koutheair","Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Photonics and Electrooptics; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Feedback; Circuits; Videos; Internet; Text to video; Protocols; Information and communication technology; HTTP; Communication systems; Communications technology; Generative Artificial Intelligence; LLMs; Accessibility; Inclusive Education; Higher Education; Adaptive Learning; Disability; Learning Outcomes","Generative Artificial Intelligence (Gen AI) is reshaping education by facilitating advances in adaptive and inclusive learning experiences. This study investigates the usage of Gen AI technologies among post-secondary students with disabilities (SWDs) and explores implications of this usage for supporting accessible and equitable learning design. It also examines students' perceptions of Gen AI tools in terms of perceived usefulness, ease of use, trust, satisfaction, and intention for continuous usage. A structured survey instrument, grounded in the Technology Acceptance Model (TAM) and in inclusive education frameworks, was developed and validated to capture learner experiences. The study employs a quantitative approach, utilizing stratified random sampling, to reach students with disabilities and provide a control sample. While data collection is ongoing, this paper presents the study design, conceptual framework, and research model. Preliminary insights highlight pedagogical, technological, and ethical determinants of Gen AI adoption and impact. Future work will present empirical results and recommendations to inform the continued development of practical and ethical Gen AI policy and practice in inclusive higher education.","2026 International Conference on Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA), Artificial Intelligence, Computer, Data Sciences and Applications (ACDSA), 2026 International Conference on",2026,10.1109/ACDSA67686.2026.11467848,EBSCO,https://research.ebsco.com/plink/dd3b4797-cd3c-33ef-9702-662ecda5e207,
Conference,GenAI-assisted software development: Is it killing the creativity?,"Sinav, Alper; Peker, Volkan; Yildiz, Hayri; Tokdemir, Gul","Communication, Networking and Broadcast Technologies; Computing and Processing; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Generative AI; Documentation; Software; Encoding; Indexes; Informatics; Creativity; Software development management; Software engineering; Testing; GenAI; software development; creativity; Creativity Support Index; AI-Assist","In this paper, we explore how generative AI (GenAI)-assisted software development affects the creativity of developers. Building on prior work that conceptualizes creativity in software engineering as producing novel and useful outcomes, creativity support is operationalized using an adapted Creativity Support Index (CSI) comprising five dimensions relevant to software work: exploration, expressiveness, immersion, enjoyment, and results worth effort. An exploratory survey-based within-subject design with 36 software professionals is employed, in which participants report their experiences during recent software-development activities (coding, debugging, testing, and documentation) conducted with GenAI tools and without GenAI. Results indicate that GenAI-assisted development is associated with higher perceived creativity support, with overall CSI scores significantly higher than in the non-GenAI condition. In contrast, no significant relationship is observed between the importance assigned to creativity-support factors and the degree of GenAI advantage on those factors. These findings suggest that GenAI does not inherently diminish developer creativity in the studied group; rather, perceived creativity support increases broadly without preferential improvements in the specific dimensions valued most by participants.","2026 5th International Informatics and Software Engineering Conference (IISEC), Informatics and Software Engineering Conference (IISEC), 2026 5th International",2026,10.1109/IISEC69317.2026.11418493,EBSCO,https://research.ebsco.com/plink/dd159df3-9822-328e-9ede-bd2c7d2b2e9e,
Conference,On-Device-First Hybrid LLM Inference on AI-PCs: Closing the Enterprise GenAI Divide,"Begum, Sultana; Fleming, Kris; Lewellen, Todd","Bioengineering; Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Engineered Materials, Dielectrics and Plasmas; Engineering Profession; General Topics for Engineers; Power, Energy and Industry Applications; Robotics and Control Systems; Signal Processing and Analysis; Transportation; Surveys; Privacy; Adaptation models; Translation; Quantization (signal); Retrieval augmented generation; Routing; Hybrid power systems; State-space methods; Optimization; AI-PC; small language models; state-space models; hybrid inference; edge computing; retrieval-augmented generation; TCO; energy efficiency; privacy; multimodal agents; computer-use agents; Agentic; MoE; GenAI Divide","AI-PCs and modern PCs equipped with capable CPUs, GPUs, and NPUs now make on-device inference for small language models (SLMs) practical across many enterprise workloads. This enables assistants that are low-latency, privacy-preserving, and resilient to network conditions, while frontier cloud models still offer higher accuracy, richer tool use, and stronger multimodality than is practical to run on every endpoint. This paper surveys and organizes the design space for an on-device-first hybrid architecture in which an SLM on the AI-PC handles most requests by default, and escalation to cloud models is reserved for difficult, tool-heavy, or long-context tasks. We synthesize advances in compact local on-device optimized model design including architectures that mix self-attention with state-space models (SSMs), parameter-efficient adaptation, multimodal and structure-aware retrieval-augmented generation (RAG), and long-horizon memory, and connect these to hardware and serving optimizations such as quantization, mixed precision, and KV-cache management. Building on this, we propose routing and reporting patterns that make latency, energy, cost, and privacy explicit design parameters, and outline a total-cost-of-ownership view that clarifies when AI-PC–centric deployments outperform all-cloud strategies. We argue that such edge-first hybrid designs offer a practical path to narrowing the ""GenAI Divide,"" in which impressive pilots fail to translate into durable, production-grade business impact.","2026 IEEE International Conference on Consumer Electronics (ICCE), Consumer Electronics (ICCE), 2026 IEEE International Conference on",2026,10.1109/ICCE67443.2026.11449769,EBSCO,https://research.ebsco.com/plink/02efc5ac-0e9e-3888-a171-c0683e22211e,
Conference,Gen-AI Assisted Machine Learning Framework for Early Heart Disease Risk Prediction,"Smith-McCallister, Koby; Aitha, Sarthak; Bk, Monika; Samuel Ravindran, Dinesh Jackson",Computing and Processing; Engineering Profession; General Topics for Engineers; Nuclear Engineering; Robotics and Control Systems; Signal Processing and Analysis; Transportation; Feedback; Circuits; Internet; Internet of Things; Communication systems; Protocols; Computer networks; HTTP; Receivers; Artificial intelligence; heart disease application; predictions; Gen-AI; early detection; heart disease recommendation,"Heart disease is a major life-threatening global health condition that often remains undetected in its early stages due to the absence of noticeable symptoms. Consequently, early risk analysis is essential for effective prevention and timely intervention. This study presents a real-world heart disease prediction system that analyzes user vitals, lifestyle and behavioral factors, and medical history to assess individual risk. The proposed system integrates machine learning with generative AI to deliver risk predictions along with personalized health insights and recommendations. The model was developed using the Heart Disease Health Indicators Dataset, comprising 253,680 records derived from over 400,000 survey responses. Five machine learning algorithms Logistic Regression, K-Nearest Neighbors, Decision Tree, Random Forest, and CatBoost were evaluated, with CatBoost achieving the highest performance, attaining a ROC-AUC score of 0.92. The application presents confidence scores from all five models to support informed decision-making. Following prediction, the results and contextual prompts are passed to a large language model (LLM) to generate actionable, personalized health recommendations. The proposed system enables real-time health assessment and decision support, particularly in emergency situations, and has the potential to facilitate early detections.","2026 Innovations in Machine, Engineering, and Digital Conference (IMED), Machine, Engineering, and Digital Conference (IMED), 2026 Innovations in",2026,10.1109/IMED68921.2026.11484080,EBSCO,https://research.ebsco.com/plink/c92c0571-e75f-361e-8930-aac9d3cff562,
Conference,Technological Acceptance and Motivation of Generative Artificial Intelligence (GenAI) in Sport Education,"Ng, Jun Wei; Naval, Mark Anthony","Communication, Networking and Broadcast Technologies; Ethics; Generative AI; Instruments; Design methodology; Education; Chatbots; Regression analysis; Interviews; Sports; Pragmatics; Generative Artificial Intelligence; Chatbot; Technological Acceptance; Unified Theory of Acceptance and Use of Technology; Expectancy-Value Theory; Self-Determination Theory; Higher Education","This paper investigates the technological acceptance and motivation of Generative Artificial Intelligence (GenAI) among sport & exercise science students in Singapore's private higher education sector. Since the advent of GenAI tools like ChatGPT, opportunities and challenges at the higher education landscape had focus on concerns over academic integrity and ethical implications. As understanding student perception is critical for responsible integration, this study employed a pragmatic philosophical approach and a sequential mixed methods design across three phases, pilot focus group interviews and open-ended questionnaires were conducted with 109 faculty and 15 students to uncover emerging themes. These findings are cornerstone to development and validation of a new measurement instrument, Values Expectancy and Motivation Perception for AI in Education (VEM-AIEd), grounded in the Unified Theory of Acceptance and Use of Technology (UTAUT), Expectancy-Value Theory (EVT), and Self-Determination Theory (SDT), incorporating ethical considerations (EC) as a novel construct. A hierarchical multiple regression analysis was used to examine constructs with behavioural intent was on 247 students with results indicated that facilitating conditions (FC) emerged as the strongest predictor $(p of behavioural intention (BI), followed by intrinsic motivation (IV), competence (COMP), success expectancy (SUC), attainment value (AV), and autonomy (AUT). The relationship between BI and acceptance constructs was significantly moderated by course level and voluntariness of use $(p . A subsequent six-week intervention with 89 students demonstrated that sustained AI exposure enhanced student confidence (CON), success expectancy (SUC), attainment value (AV), social influence (SI), and relatedness (REL) $(\mathrm{p}. The findings advance theory by integrating ethical considerations into AI acceptance models and offer actionable recommendations for prioritizing values and expectations in responsible AI implementation in private higher education.","2025 2nd International Conference on Artificial Intelligence and Teacher Education (ICAITE), Artificial Intelligence and Teacher Education (ICAITE), 2025 2nd International Conference on",2025,10.1109/ICAITE68636.2025.11442478,EBSCO,https://research.ebsco.com/plink/1c326010-db45-3c3e-80b6-281f88f8d289,
Conference,"Feasibility, Applicability, and Training of Generative Artificial Intelligence (Gen-AI) for Fixed RAIN (UHF) RFID Antenna Systems Integration","Parthiban, Prabakar","Aerospace; Bioengineering; Communication, Networking and Broadcast Technologies; Computing and Processing; Engineering Profession; Training; Rain; Accuracy; Generative AI; System integration; UHF antennas; Fourth Industrial Revolution; Fifth Industrial Revolution; Usability; Radiofrequency identification; Antenna; AI; AIDC; Chat-GPT; Deep Seek; Gemini; Gen-AI; IoT; RAIN; RFID; RFID system; Sensors; Tags; and UHF RFID","The success of the Fourth Industrial Revolution, known as Industry 4.0, has driven the adoption of Generative Artificial Intelligence (Gen-AI) in industrial applications that are dangerous, monotonous, or physically demanding. This transition has led to the emergence of Industry 5.0, characterized by the integration of robots and smart machines. This paper examines the feasibility and applicability of Gen-AI in enhancing Automatic Identification and Data Capture (AIDC) technologies, particularly through the integration of Ultra High Frequency (UHF) Radio Frequency Identification (RFID), also known as RAIN RFID fixed antenna systems. We discuss the nuances, challenges, and difficulties associated with implementing fixed RFID systems while evaluating the Gen-AI model, Chat-GPT, to assess its accuracy and usability from an SI’s standpoint. Results are critically reviewed against peerreviewed journals, and where Gen-AI failed, training methods, areas for exploration, and learning are also suggested.Furthermore, antenna selection based on the RFID application, analyzing and utilizing the varied performance between far-field and near-field fixed RFID reader antennas, nuances related to enabling an efficient RFID reader front-end, and characterizing and optimizing the RFID tag performance in situ are also discussed. Potential for a Gen-AI trained smart middleware algorithm for real-time beamforming using passive antennas, beam scanning, field switching, and creating polarization diversity is also discussed with a view to opening doors towards seamless Industry 5.0 integration.","2025 IEEE International Conference on Recent Advances in Systems Science and Engineering (RASSE), Recent Advances in Systems Science and Engineering (RASSE), 2025 IEEE International Conference on",2025,10.1109/RASSE64831.2025.11315344,EBSCO,https://research.ebsco.com/plink/dbb88d5d-3787-3c6a-9220-82a3b7ff8866,
Conference,Agentic GenAI-Driven Network Management: Outage Probability of Relay Signal Transmission Using DF Technique Under BX Fading Case Study,"Petrovic, Nenad; Suljovic, Suad","Communication, Networking and Broadcast Technologies; Components, Circuits, Devices and Systems; Computing and Processing; Engineering Profession; Fields, Waves and Electromagnetics; General Topics for Engineers; Photonics and Electrooptics; Power, Energy and Industry Applications; Signal Processing and Analysis; Transportation; Fading channels; Automation; Generative AI; Large language models; System performance; Probability; Power system reliability; Telecommunications; Telecommunication network reliability; Relays; BX fading; Generative Artificial Intelligence (GenAI); Large Language Model (LLM); Vision Language Model (VLM); Model-Driven Engineering (MDE); Outage probability (<tex>$P_{\text {out }}$</tex>)","This paper explores the application of Generative Artificial Intelligence (GenAI) to network design and management in order to achieve automated maintenance in modern telecommunications. Leveraging Large Language Models (LLMs), Vision-Language Models (VLMs), and Retrieval-Augmented Generation (RAG), the proposed framework enables intelligent reasoning, modeling, and automation of network operations, including both the designand run-time aspects. As a case study, the framework is applied to outage probability estimation in a dual-hop Decode-and-Forward (DF) relay system under Beaulieu-Xie (BX) fading. The results confirm that GenAI-assisted workflows can significantly reduce effort and time while maintaining accuracy, demonstrating their potential to enhance automation, reliability, and efficiency in next-generation 5G/6G network management.","2025 33rd Telecommunications Forum (TELFOR), Telecommunications Forum (TELFOR), 2025 33rd",2025,10.1109/TELFOR67910.2025.11314268,EBSCO,https://research.ebsco.com/plink/52d1bd6f-4a36-3be6-95dc-f36eaae77ad3,
